dataset,initialization,stage,method,stress,neighborhood,context,dtw_beta0,dtw_beta1,dtw_total
blobs,PCA,initial,dire_pca_init,1.401646430870467,0.42626550793647766,0.0,4.849465082260479,8.320556210739737,13.170021293000215
blobs,PCA,refined,dire,1.5835672116250492,0.4025482137997945,0.0,4.738850018957901,7.819663945928007,12.558513964885908
blobs,Spectral,initial,dire_spectral_init,5.419162297181031,0.3220127423604329,-0.1418994665145874,7.194654601653364,6.233287288047344,13.427941889700708
blobs,Spectral,refined,dire_spectral,1.4984416621345342,0.4034521281719208,0.0,4.728484297200773,8.05045503342809,12.778939330628862
disk,PCA,initial,dire_pca_init,0.009414988915471066,0.989023745059967,,0.02695349870386077,0.0731070827650591,0.10006058146891987
disk,PCA,refined,dire,0.4896077209721348,0.895488977432251,,0.31791958256783853,0.5763798193100035,0.8942994018778421
disk,Spectral,initial,dire_spectral_init,3.008314700344513,0.7790117065111796,,0.2879872669576348,0.9227746140450378,1.2107618810026726
disk,Spectral,refined,dire_spectral,0.7096407560906912,0.892518937587738,,0.32293495652380727,0.5250240318458067,0.8479589883696139
moons,PCA,initial,dire_pca_init,0.4008215537281174,0.8468492031097412,0.0,0.18020671650594008,0.11271030479240678,0.29291702129834685
moons,PCA,refined,dire,1.630483564837741,0.8752582669258118,-0.13371888051430383,0.31780505823058225,0.45469740599847963,0.7725024642290619
moons,Spectral,initial,dire_spectral_init,4.9596853947808945,0.6443268060684204,-0.13157635927200317,0.5688555523756249,0.7416459241341316,1.3105014765097565
moons,Spectral,refined,dire_spectral,1.427967269151578,0.7945936719576517,-0.1199607824285825,0.37024093603369185,0.5850108152066625,0.9552517512403544
mnist,PCA,initial,dire_pca_init,1.3654906485984732,0.23050102591514587,-0.6061357855796814,1.1425381447278034,27.526207797152654,28.66874594188046
mnist,PCA,refined,dire,1.9020641943239547,0.47017045815785724,-0.12922154118617377,1.3380836021623344,29.791720509308877,31.129804111471213
mnist,Spectral,initial,dire_spectral_init,1.5527323588338717,0.2593405644098918,-0.3531392812728882,1.2118786902744674,29.399918147771274,30.61179683804574
mnist,Spectral,refined,dire_spectral,2.3359064243351066,0.4665117065111796,-0.1418301910161972,1.3314721763755106,30.173561230778432,31.50503340715394
levine13,PCA,initial,dire_pca_init,3.5992297326362195,0.2556818127632141,-0.48362988233566284,0.338266879552457,10.953012690957472,11.291279570509928
levine13,PCA,refined,dire,1.6742427602136656,0.48170627156893414,-0.0540672205388546,0.4950918551136232,13.74253329489179,14.237625150005414
levine13,Spectral,initial,dire_spectral_init,7.4801366890976055,0.1303805112838745,-0.6466501156489054,0.5130275740461867,15.498266973184997,16.011294547231184
levine13,Spectral,refined,dire_spectral,6.514062459946406,0.47219351927439374,-0.06203538924455643,0.5356406267080641,13.564356061381567,14.09999668808963
levine32,PCA,initial,dire_pca_init,2.0463958096977533,0.47004133462905884,-0.6037405729293823,0.34363454343701944,4.626288879585424,4.969923423022443
levine32,PCA,refined,dire,2.197941890007924,0.6073088844617208,-0.42016921440760296,0.43723786317925195,6.472975242154216,6.910213105333468
levine32,Spectral,initial,dire_spectral_init,7.376092724717156,0.26063188910484314,-0.5906684994697571,0.6298846382686478,7.032734866285467,7.662619504554115
levine32,Spectral,refined,dire_spectral,2.5446799530186976,0.5943956772486368,-0.3600132366021474,0.43029634014293805,5.724423274840132,6.15471961498307
