dataset,method,display,metric,repeat_count,mean,sample_sd,minimum,maximum
blobs,dire,DiRe-RAPIDS,dtw_beta0,20,4.719861085783217,0.04427299383460598,4.643691970830997,4.815420041391371
blobs,dire,DiRe-RAPIDS,dtw_beta1,20,7.946147423558995,0.4201905166686218,7.3439632696267525,8.614507905712486
blobs,dire_topology,DiRe (topology preset),dtw_beta0,20,4.707462548265612,0.0331661159124449,4.633146870113608,4.766137732733465
blobs,dire_topology,DiRe (topology preset),dtw_beta1,20,8.446827610335509,0.37485704303099776,7.887863159286426,9.12090531297765
blobs,cuml_umap,cuML UMAP,dtw_beta0,20,4.622934509669156,0.03482096293158751,4.581460392305913,4.710115811085098
blobs,cuml_umap,cuML UMAP,dtw_beta1,20,8.12404044385559,0.3713266688625708,7.250408787875755,8.75188176408748
blobs,cuml_tsne,cuML t-SNE,dtw_beta0,20,3.942515877121599,0.03853373713650831,3.8829317993191537,4.033729530281001
blobs,cuml_tsne,cuML t-SNE,dtw_beta1,20,6.816573217056356,0.2903876623671484,6.364831679372175,7.370190449551296
blobs,opentsne,openTSNE,dtw_beta0,10,4.723064124148547,0.026416705619998704,4.693554038802166,4.772994319586975
blobs,opentsne,openTSNE,dtw_beta1,10,8.322107862500406,0.43736338168020705,7.541613049215049,9.04799650823431
blobs,umap,umap-learn,dtw_beta0,10,4.645934422171443,0.03580846656344323,4.576571404102251,4.6946687194342465
blobs,umap,umap-learn,dtw_beta1,10,8.12620370870047,0.42981060253604614,7.587786037365045,8.900427445046182
disk,dire,DiRe-RAPIDS,dtw_beta0,20,0.3137767036073301,0.01531830583183796,0.2803294089811216,0.3398866795436731
disk,dire,DiRe-RAPIDS,dtw_beta1,20,0.5082240647093956,0.11227507732370431,0.3679796099426425,0.7209841478203726
disk,dire_topology,DiRe (topology preset),dtw_beta0,20,0.4676843766567881,0.019544830940567717,0.4314203156435721,0.5007642994560153
disk,dire_topology,DiRe (topology preset),dtw_beta1,20,1.9209398731107723,0.2799441170411155,1.2810824218721322,2.2400597818658117
disk,cuml_umap,cuML UMAP,dtw_beta0,20,0.53949461200746,0.01612023434070787,0.5034102191646241,0.5843065169550066
disk,cuml_umap,cuML UMAP,dtw_beta1,20,1.5870813759839746,0.1654197166221728,1.1011015870537102,1.8572018684301521
disk,cuml_tsne,cuML t-SNE,dtw_beta0,20,1.0612897523607445,0.017787260899012978,1.0263571814754548,1.091690511689924
disk,cuml_tsne,cuML t-SNE,dtw_beta1,20,1.259270697895492,0.21435744897243802,0.9527404794822419,1.6614334797356995
disk,opentsne,openTSNE,dtw_beta0,10,1.3908127403006558,0.023870042334628562,1.3568193981043324,1.423383863548285
disk,opentsne,openTSNE,dtw_beta1,10,1.7798418329283752,0.08791464376505978,1.6698220906505141,1.8842113590134295
disk,umap,umap-learn,dtw_beta0,10,0.4679649929611342,0.014279653540671443,0.44765478551354115,0.4934299442702923
disk,umap,umap-learn,dtw_beta1,10,0.961658806220066,0.12286741639715211,0.7808267473152946,1.1534700382698164
moons,dire,DiRe-RAPIDS,dtw_beta0,20,0.3309895605859872,0.020201873875589877,0.303385285406575,0.3726444023230475
moons,dire,DiRe-RAPIDS,dtw_beta1,20,0.41690006069978336,0.1385179581249675,0.12830257643381773,0.6540933186691319
moons,dire_topology,DiRe (topology preset),dtw_beta0,20,0.5252199138479777,0.04636850811570529,0.4511435777285231,0.6319176604316274
moons,dire_topology,DiRe (topology preset),dtw_beta1,20,0.8454631494873166,0.2271888407341243,0.38116221643002557,1.2794386911664304
moons,cuml_umap,cuML UMAP,dtw_beta0,20,0.4455251276974687,0.037466007825255006,0.37571610962148966,0.5079231777416653
moons,cuml_umap,cuML UMAP,dtw_beta1,20,0.5105481286563262,0.19857166260898695,0.1906914322973564,0.9773494160249218
moons,cuml_tsne,cuML t-SNE,dtw_beta0,20,0.9726003299896426,0.04857407525480053,0.8799173852837586,1.0748624341045248
moons,cuml_tsne,cuML t-SNE,dtw_beta1,20,1.2823852736814383,0.22216522286120774,0.8571716985341,1.7069354554658678
moons,opentsne,openTSNE,dtw_beta0,10,1.131138710233237,0.031255803147830885,1.09207383896889,1.1744816937685223
moons,opentsne,openTSNE,dtw_beta1,10,1.0087188831561025,0.05000954365225591,0.9573168716952154,1.129771827746686
moons,umap,umap-learn,dtw_beta0,10,0.4375099766802063,0.024797059064536043,0.3972373566404437,0.46754850177213825
moons,umap,umap-learn,dtw_beta1,10,0.4370822552917476,0.16109766964238004,0.2538985803711951,0.7274855064797253
mnist,dire,DiRe-RAPIDS,dtw_beta0,20,1.2936614955668762,0.06771682543452479,1.2024633832018112,1.4329367765732028
mnist,dire,DiRe-RAPIDS,dtw_beta1,20,32.138503161983756,3.491859837410994,24.79147493263845,39.508351212112366
mnist,dire_topology,DiRe (topology preset),dtw_beta0,20,1.3891501429630577,0.04056816782536487,1.3167770015860136,1.4514015846366435
mnist,dire_topology,DiRe (topology preset),dtw_beta1,20,31.17256313370291,3.602666668087273,25.640541382015318,36.20032429448781
mnist,cuml_umap,cuML UMAP,dtw_beta0,20,1.1701592314441696,0.048333117342315456,1.0849702060357174,1.282377302039698
mnist,cuml_umap,cuML UMAP,dtw_beta1,20,33.04400237448074,3.3417880714721684,26.51165512848921,39.18546171011683
mnist,cuml_tsne,cuML t-SNE,dtw_beta0,20,0.590325102049238,0.04788729034269517,0.5356020877045174,0.7012381744366003
mnist,cuml_tsne,cuML t-SNE,dtw_beta1,20,29.656539360837634,3.4589756875449775,22.496062367031584,35.152144531867314
mnist,opentsne,openTSNE,dtw_beta0,10,0.5071590824155717,0.04378282411850332,0.43579142464391196,0.5697163013658925
mnist,opentsne,openTSNE,dtw_beta1,10,32.00117723107877,2.6950274629776385,27.397496281215773,35.86312757560778
mnist,umap,umap-learn,dtw_beta0,10,1.164013230228242,0.059411964709401244,1.0912136008115148,1.2599912431105942
mnist,umap,umap-learn,dtw_beta1,10,33.503486396911526,3.4490904493431196,27.846796138340782,39.429609982688724
levine13,dire,DiRe-RAPIDS,dtw_beta0,20,0.5136887742290657,0.03935803418966822,0.44879157484983373,0.5987474435086555
levine13,dire,DiRe-RAPIDS,dtw_beta1,20,13.754470204783933,2.149477101384144,10.24157419750671,18.383692303490257
