dataset,method,display,hardware_class,input_n_samples,cold_sec,steady_sec,steady_std_sec,steady_n
blobs,dire,DiRe-RAPIDS,GPU,10000,1.2565183219994651,0.41378927021028894,0.06578933305935879,19
blobs,cuml_tsne,cuML t-SNE,GPU,10000,0.4402048369993281,0.4362110386312117,0.0003739401618064232,19
blobs,cuml_umap,cuML UMAP,GPU,10000,0.19649338299859664,0.17759577452651634,0.00019881767311351903,19
blobs,opentsne,openTSNE,CPU,10000,20.275706284999615,21.797139764111005,3.4048372377925586,9
blobs,umap,umap-learn,CPU,10000,28.441079465999792,11.578696493666737,0.2272130529358658,9
disk,dire,DiRe-RAPIDS,GPU,10000,0.31514319900088594,0.30522852236849995,0.0029167289943881542,19
disk,cuml_tsne,cuML t-SNE,GPU,10000,0.4073192220002966,0.4074669923680439,0.00045080797204296593,19
disk,cuml_umap,cuML UMAP,GPU,10000,0.2642573109988007,0.2810489392106415,0.012544438986433837,19
disk,opentsne,openTSNE,CPU,10000,45.91083677200004,42.473453979777936,2.2594642439851085,9
disk,umap,umap-learn,CPU,10000,8.607032153999171,8.533668303666976,0.0689291986900058,9
levine13,dire,DiRe-RAPIDS,GPU,10000,2.065893224998945,0.2502574519999861,0.0013958511891802297,19
levine13,cuml_tsne,cuML t-SNE,GPU,10000,0.4197474040011002,0.4156806126842352,0.00069742198444751,19
levine13,cuml_umap,cuML UMAP,GPU,10000,0.2413240890000452,0.2156728747896092,0.0024537010727775253,19
levine13,opentsne,openTSNE,CPU,10000,44.30003195000063,40.011637802889,4.501694929930376,9
levine13,umap,umap-learn,CPU,10000,26.217581018998317,9.554115111999838,0.13019404316887143,9
levine32,dire,DiRe-RAPIDS,GPU,10000,0.30437395900116826,0.29396922599966946,0.004397286322541853,19
levine32,cuml_tsne,cuML t-SNE,GPU,10000,0.39798619199973473,0.3973185743684314,0.00041762179967196766,19
levine32,cuml_umap,cuML UMAP,GPU,10000,0.3526923330009595,0.33527457699998003,0.03162431861639079,19
levine32,opentsne,openTSNE,CPU,10000,39.334820604000925,40.20239332544406,3.886099355430048,9
levine32,umap,umap-learn,CPU,10000,9.558554229999572,9.601147231666497,0.15751563689022063,9
mnist,dire,DiRe-RAPIDS,GPU,10000,1.0743873310002527,0.3423597389999869,0.0019024861162704864,19
mnist,cuml_tsne,cuML t-SNE,GPU,10000,0.4188194359994668,0.4232121921578303,0.020625531031184568,19
mnist,cuml_umap,cuML UMAP,GPU,10000,0.24069155200049863,0.22351533763149314,0.0029024563184978655,19
mnist,opentsne,openTSNE,CPU,10000,35.356043406000026,38.55306183866701,2.8383599101537627,9
mnist,umap,umap-learn,CPU,10000,23.23238281000158,10.113407690111167,0.4125903461863557,9
moons,dire,DiRe-RAPIDS,GPU,10000,0.31479358800061163,0.3079537247370019,0.0020250270143830195,19
moons,cuml_tsne,cuML t-SNE,GPU,10000,0.4085571979994711,0.4082106110522306,0.0003292900689534129,19
moons,cuml_umap,cuML UMAP,GPU,10000,0.5307398719996854,0.5642475977893857,0.07699184699576386,19
moons,opentsne,openTSNE,CPU,10000,47.6399436949996,51.09101525877749,4.066882630817635,9
moons,umap,umap-learn,CPU,10000,8.797059687998626,8.87085454322207,0.1494025306451206,9
