method,display,source_cluster,source_top_markers,target_cluster,status
pca2,PCA (2D),1,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1",2,lost
pca2,PCA (2D),1,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1",3,preserved
pca2,PCA (2D),1,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1",4,lost
pca2,PCA (2D),1,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1",5,introduced
pca2,PCA (2D),1,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1",7,introduced
pca2,PCA (2D),2,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b",1,preserved
pca2,PCA (2D),2,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b",3,introduced
pca2,PCA (2D),2,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b",4,lost
pca2,PCA (2D),2,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b",6,lost
pca2,PCA (2D),2,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b",7,introduced
pca2,PCA (2D),3,"Snca, Zbtb20, Crym, Stmn2, Nts",1,preserved
pca2,PCA (2D),3,"Snca, Zbtb20, Crym, Stmn2, Nts",2,lost
pca2,PCA (2D),3,"Snca, Zbtb20, Crym, Stmn2, Nts",4,lost
pca2,PCA (2D),3,"Snca, Zbtb20, Crym, Stmn2, Nts",5,introduced
pca2,PCA (2D),3,"Snca, Zbtb20, Crym, Stmn2, Nts",7,introduced
pca2,PCA (2D),4,"Gria2, Ptprd, Arpp21, Tmem108, Nts",1,lost
pca2,PCA (2D),4,"Gria2, Ptprd, Arpp21, Tmem108, Nts",2,lost
pca2,PCA (2D),4,"Gria2, Ptprd, Arpp21, Tmem108, Nts",3,introduced
pca2,PCA (2D),4,"Gria2, Ptprd, Arpp21, Tmem108, Nts",5,introduced
pca2,PCA (2D),4,"Gria2, Ptprd, Arpp21, Tmem108, Nts",7,preserved
pca2,PCA (2D),5,"Maf, Nxph1, Meg3, Sst, Npy",1,lost
pca2,PCA (2D),5,"Maf, Nxph1, Meg3, Sst, Npy",3,introduced
