cluster,cells,markers
1,331960,"Tuba1a, Gpm6a, Cd24a, Gria2, Tsc22d1"
2,196425,"Igfbpl1, Sox11, Pcp4, Nfib, H3f3b"
3,118140,"Snca, Zbtb20, Crym, Stmn2, Nts"
4,110356,"Gria2, Ptprd, Arpp21, Tmem108, Nts"
5,105158,"Maf, Nxph1, Meg3, Sst, Npy"
6,88009,"Neurog2, Eomes, Gadd45g, Mdk, Mfap4"
7,84088,"Nnat, Dlx6os1, Sp9, Gad2, Ccnd2"
8,80672,"Fabp7, Dbi, Mt3, Aldoc, Vim"
9,51662,"2810417H13Rik, H2afz, Rrm2, Hmgb2, Ccnd2"
10,49421,"Ube2c, Hmgb2, Cks2, Cenpf, Ccnb1"
11,20993,"Snhg11, Reln, Ndnf, Meg3, Pcp4"
12,19814,"Hbb-bs, Hba-a1, Hba-a2, Hbb-bt, Alas2"
13,15269,"Cldn5, Igfbp7, Bsg, Itm2a, Flt1"
14,11697,"Olig1, Pdgfra, Serpine2, Olig2, Lhfpl3"
15,11137,"Rgs5, Higd1b, Vtn, Igf2, Ndufa4l2"
16,5525,"Ccl4, C1qb, C1qc, C1qa, Ccl3"
17,5038,"Ttr, Dbi, Rspo1, Wnt8b, Apoe"
18,589,"Meig1, Dynlrb2, Foxj1, Mt2, Mt1"
19,123,"Plac8, Lyz2, S100a8, Ifi27l2a, Cd52"
20,51,"S100a9, S100a8, BC100530, Ngp, Stfa1"
