dataset,basis,metric,dire_method,competitor,competitor_display,pair_id_field,paired_record_count,paired_ids,dire_mean,competitor_mean,paired_gap_competitor_minus_dire_mean,paired_gap_std,paired_gap_values,relative_gap_vs_competitor,descriptive_paired_standardized_gap
tenx,subset,dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.221325,0.14289999999999997,-0.078425,0.08933667981916002,"[-0.05024999999999999, -0.09100000000000001, -0.14024999999999999, 0.02375000000000002, -0.10475000000000001, -0.21724999999999997, -0.04999999999999999, -0.019500000000000003, -0.19425000000000003, 0.05925]",-0.5488103568929322,-0.8778589058688098
tenx,subset,dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.046475,0.038474999999999995,-0.008000000000000002,0.023991317874042132,"[-0.004499999999999997, -0.0037499999999999964, -0.03475, -0.031, -0.017750000000000002, -0.020250000000000004, -0.0012500000000000011, 0.034749999999999996, -0.029750000000000002, 0.028250000000000004]",-0.2079272254710852,-0.33345396205415445
tenx,subset,bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.4270747244358063,0.4270747244358063,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.032455158047378065,0.015120843984186649,-0.017334314063191414,0.004800515723582154,"[-0.014113295823335648, -0.02519160695374012, -0.022998753935098648, -0.010639684274792671, -0.01549428328871727, -0.01417020708322525, -0.016165170818567276, -0.023247798904776573, -0.014424987137317657, -0.016897352412343025]",-1.146385352650924,-3.610927463071929
tenx,subset,q99_dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.41525000000000006,0.41899999999999993,0.003749999999999987,0.003109126351029586,"[0.0040000000000000036, 0.003500000000000003, 0.006750000000000034, 0.0010000000000000009, 0.0017500000000000293, 0.010999999999999899, 0.004249999999999976, 0.0012499999999999734, 0.0027499999999999747, 0.0012499999999999734]",0.008949880668257727,1.2061266016925223
tenx,subset,q99_dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.074075,0.07460000000000001,0.0005249999999999983,0.0024677081134796552,"[0.001999999999999988, 0.002250000000000002, 0.0014999999999999875, 0.0017500000000000016, 0.0, -0.00474999999999999, 0.0005000000000000004, 0.003250000000000003, -0.0027500000000000024, 0.0014999999999999944]",0.007037533512064319,0.2127480138887693
tenx,subset,q99_bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",2.687212553767567,2.687212553767567,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,q99_bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.05233834839185558,0.05130708261336736,-0.0010312657784882205,0.0023214491827540876,"[0.0, -0.006882853224408361, -0.0034298045604738425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.020099871712829336,-0.4442336218899102
tenx,subset,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.221325,0.12969999999999998,-0.09162499999999998,0.06187456509387,"[-0.097, -0.11125, -0.11374999999999999, -0.02124999999999999, -0.064, -0.19974999999999998, -0.106, -0.053000000000000005, -0.15850000000000003, 0.008250000000000007]",-0.706437933693138,-1.480818489164256
tenx,subset,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.046475,0.040075,-0.006400000000000003,0.020030601588569428,"[-0.006499999999999999, -0.006999999999999996, -0.013750000000000005, -0.03425, -0.009000000000000001, -0.01125000000000001, -0.014750000000000003, 0.03275, -0.023250000000000007, 0.023]",-0.15970056144728642,-0.3195111226041358
tenx,subset,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.4270747244358063,0.4270747244358063,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
