dataset,m,metric,dire_method,competitor,competitor_display,dire_value,competitor_value,gap_competitor_minus_dire,winner
tenx,1000,dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.268,0.335,0.067,dire_auto
tenx,1000,dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.081,0.08,-0.0010000000000000009,cellranger_tsne
tenx,1000,bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.04087886027991772,0.022447803989052773,-0.018431056290864944,cellranger_tsne
tenx,1000,q99_dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.747,0.75,0.0030000000000000027,dire_auto
tenx,1000,q99_dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.056,0.021,-0.035,cellranger_tsne
tenx,1000,q99_bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,2.4612562821899697,2.4612562821899697,0.0,tie
tenx,1000,q99_bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.039452334135771705,0.02043561784451664,-0.019016716291255065,cellranger_tsne
tenx,2000,dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.078,0.386,0.308,dire_auto
tenx,2000,dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.069,0.057,-0.012000000000000004,cellranger_tsne
tenx,2000,bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,2000,bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.036313608288764954,0.02253804262727499,-0.013775565661489964,cellranger_tsne
tenx,2000,q99_dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.5625,0.57,0.007499999999999951,dire_auto
tenx,2000,q99_dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.072,0.0675,-0.00449999999999999,cellranger_tsne
tenx,2000,q99_bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,2.637183019695253,2.637183019695253,0.0,tie
tenx,2000,q99_bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.08898443153642499,0.08898443153642499,0.0,tie
tenx,4000,dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.18825,0.138,-0.05024999999999999,cellranger_tsne
tenx,4000,dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.04825,0.04225,-0.005999999999999998,cellranger_tsne
tenx,4000,bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,4000,bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.03923290967941284,0.016749434173107147,-0.022483475506305695,cellranger_tsne
tenx,4000,q99_dtw_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.413,0.41175,-0.0012499999999999734,cellranger_tsne
tenx,4000,q99_dtw_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.0865,0.0875,0.0010000000000000009,dire_auto
tenx,4000,q99_bottleneck_beta0,dire_auto,cellranger_tsne,Cell Ranger t-SNE,2.6149994367508933,2.6149994367508933,0.0,tie
tenx,4000,q99_bottleneck_beta1,dire_auto,cellranger_tsne,Cell Ranger t-SNE,0.13134666928990152,0.13134666928990152,0.0,tie
tenx,1000,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.268,0.396,0.128,dire_auto
tenx,1000,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.081,0.073,-0.008000000000000007,cuml_tsne
tenx,1000,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.3910366892814636,0.3910366892814636,0.0,tie
tenx,1000,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.04087886027991772,0.02455045748502016,-0.016328402794897556,cuml_tsne
tenx,1000,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,0.747,0.744,-0.0030000000000000027,cuml_tsne
tenx,1000,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,0.056,0.03,-0.026000000000000002,cuml_tsne
