dataset,method,display,subset_size,bottleneck_beta0,bottleneck_beta1,q99_bottleneck_beta0,q99_bottleneck_beta1,dtw_beta0,dtw_beta1,q99_dtw_beta0,q99_dtw_beta1
tenx,pca2,PCA (2D),1000,0.3910366892814636,0.01134919747710228,2.4612562821899697,0.02043561784451664,0.4,0.063,0.675,0.062
tenx,pca2,PCA (2D),2000,0.3910366892814636,0.013194449245929718,2.637183019695253,0.08898443153642499,0.3465,0.0675,0.5315,0.087
tenx,pca2,PCA (2D),4000,0.3910366892814636,0.023704107850790024,2.6149994367508933,0.13134666928990152,0.2945,0.07525,0.39275,0.095
tenx,dire_auto,DiRe (auto cuVS),1000,0.3910366892814636,0.03929886594414711,2.4612562821899697,0.03740902220151257,0.235,0.095,0.733,0.053
tenx,dire_auto,DiRe (auto cuVS),2000,0.3910366892814636,0.028260808438062668,2.637183019695253,0.08898443153642499,0.09,0.0855,0.5525,0.0785
tenx,dire_auto,DiRe (auto cuVS),4000,0.3910366892814636,0.030862729996442795,2.6149994367508933,0.13134666928990152,0.18825,0.04675,0.40775,0.0855
tenx,dire,DiRe (IVF-Flat control),1000,0.3910366892814636,0.029309777542948723,2.4612562821899697,0.032343839021473225,0.232,0.077,0.736,0.059
tenx,dire,DiRe (IVF-Flat control),2000,0.3910366892814636,0.026711441576480865,2.637183019695253,0.08898443153642499,0.092,0.0795,0.5495,0.0725
tenx,dire,DiRe (IVF-Flat control),4000,0.3910366892814636,0.030957944691181183,2.6149994367508933,0.13134666928990152,0.182,0.056,0.413,0.09
tenx,dire_spectral,DiRe (spectral init),1000,0.3910366892814636,0.01581532694399357,2.4612562821899697,0.02043561784451664,0.291,0.062,0.743,0.065
tenx,dire_spectral,DiRe (spectral init),2000,0.3910366892814636,0.03260175138711929,2.637183019695253,0.08898443153642499,0.3145,0.0455,0.5475,0.089
tenx,dire_spectral,DiRe (spectral init),4000,0.3910366892814636,0.03864170238375664,2.6149994367508933,0.13134666928990152,0.275,0.05425,0.404,0.09775
tenx,dire_topology,DiRe (topology preset),1000,0.3910366892814636,0.02893231064081192,2.4612562821899697,0.028859396343715205,0.142,0.076,0.759,0.06
tenx,dire_topology,DiRe (topology preset),2000,0.3910366892814636,0.030788011848926544,2.637183019695253,0.08898443153642499,0.241,0.074,0.5575,0.0775
tenx,dire_topology,DiRe (topology preset),4000,0.3910366892814636,0.03275671601295471,2.6149994367508933,0.13134666928990152,0.2645,0.0625,0.41425,0.096
tenx,cuml_umap,cuML UMAP,1000,0.3910366892814636,0.016032667830586433,2.4612562821899697,0.02043561784451664,0.382,0.078,0.726,0.059
tenx,cuml_umap,cuML UMAP,2000,0.3910366892814636,0.030916929244995117,2.637183019695253,0.08898443153642499,0.1335,0.065,0.565,0.074
